store,websites,attribute_set,type,category_ids,sku,status,product_category_type,is_recurring,visibility,tax_class_id,ebizmarts_mark_visited,brands,remove_compare_link,cash_on_delivery,emi_option,free_home_delivery,hard_disk_drive_storage,graphic_card_memory,screen_details,cpu,storage_capacity,graphic_card_type,warranty,webcam,screen_size,segment,laptop_warranty_summary,laptop_screen_range,laptop_ram,laptop_operating_system,laptop_graphic_card_model,laptop_freebag,laptop_touchscreen,deal_on_active,deal_on,is_superdeal,laptop_processor,magebuzz_featured_product,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,offers,video,warrenty,product_label,model_no,cpu_speed,ram_type,hdd_type,card_reader,series_name,eb_code,laptop_optical_drive,laptop_colour,laptop_screen_type,laptop_adapter,laptop_battery,gr_ean,creareseo_discontinued,creareseo_discontinued_product,deals,pro_mainname,laptop_battery_backup,laptop_remark,nav_item_no,price,special_price,weight,msrp,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,gr_valid_through,description,short_description,meta_keyword,custom_layout_update,imp_desc,deals_desc,searchindex_weight,concated_description,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Laptops,simple,"3,148",QCNBBG00294,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"DELL LATITUDE E6420(CORE I7 2620M 2.70GHZ/4GB/250GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. ODD may not functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"DELL LATITUDE E6420(CORE I7 2620M 2.70GHZ/4GB/250GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00296,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"DELL LATITUDE E6410(CORE I5 M520 2.40GHZ/4GB/320GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. ODD may not functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"DELL LATITUDE E6410(CORE I5 M520 2.40GHZ/4GB/320GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00297,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"DELL LATITUDE E6410(CORE I5 M560 2.67GHZ/4GB/250GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. ODD may not functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"DELL LATITUDE E6410(CORE I5 M560 2.67GHZ/4GB/250GB/WEBCAM/14""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00298,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"DELL LATITUDE E6410(CORE I5 M520 2.40GHZ/4GB/160GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. ODD may not functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"DELL LATITUDE E6410(CORE I5 M520 2.40GHZ/4GB/160GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00299,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD T410(CORE I5 M540 2.53GHZ/4GB/500GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. ODD may not functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD T410(CORE I5 M540 2.53GHZ/4GB/500GB/NO WEBCAM/14""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00230,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"DELL LATITUDE E6220(CORE I5 2520M 2.50GHZ/4GB/500GB/WEBCAM/12.5""/9 CELL BATTERY/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"DELL LATITUDE E6220(CORE I5 2520M 2.50GHZ/4GB/500GB/WEBCAM/12.5""/9 CELL BATTERY/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00211,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"ACER ASPIRE ONE D257(ATOM N570 1.66GHZ/2GB/320GB/WEBCAM/10.1""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"ACER ASPIRE ONE D257(ATOM N570 1.66GHZ/2GB/320GB/WEBCAM/10.1""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00218,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO IDEAPAD U310(CORE I5 3317U 1.70GHZ/2GB/500GB/WEBCAM/13.3""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO IDEAPAD U310(CORE I5 3317U 1.70GHZ/2GB/500GB/WEBCAM/13.3""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00240,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD X240(CORE I5 4300U 1.90GHZ/8GB/500GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD X240(CORE I5 4300U 1.90GHZ/8GB/500GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00268,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD X220(CORE I5 2520M 2.50GHZ/4GB/320GB/WEBCAM/12.5""/9 CELL BATTERY/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD X220(CORE I5 2520M 2.50GHZ/4GB/320GB/WEBCAM/12.5""/9 CELL BATTERY/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00271,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"DELL LATITUDE E4310(CORE I5 M520 2.40GHZ/4GB/250GB/NO WEBCAM/13.3""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"DELL LATITUDE E4310(CORE I5 M520 2.40GHZ/4GB/250GB/NO WEBCAM/13.3""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00272,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"DELL LATITUDE E4310(CORE I5 M520 2.40GHZ/4GB/250GB/WEBCAM/13.3""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"DELL LATITUDE E4310(CORE I5 M520 2.40GHZ/4GB/250GB/WEBCAM/13.3""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00291,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD X230(CORE I5 3320M 2.60GHZ/8GB/500GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD X230(CORE I5 3320M 2.60GHZ/8GB/500GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00292,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD X230(CORE I5 3320M 2.60GHZ/4GB/320GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD X230(CORE I5 3320M 2.60GHZ/4GB/320GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00293,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD X240(CORE I5 4300U 1.90GHZ/8GB/500GB/NO WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD X240(CORE I5 4300U 1.90GHZ/8GB/500GB/NO WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00295,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,DELL LATITUDE E6230(CORE I5 3340M 2.70GHZ/4GB/320GB/WEBCAM/12.5''/WIN-10 HOME)(GRADE B),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,DELL LATITUDE E6230(CORE I5 3340M 2.70GHZ/4GB/320GB/WEBCAM/12.5''/WIN-10 HOME)(GRADE B),0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00300,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD X240(CORE I5 4300U 1.90GHZ/4GB/250GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD X240(CORE I5 4300U 1.90GHZ/4GB/250GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00301,Disabled,QCNBK-B,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month warranty,Yes,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD X240(CORE I5 4300U 1.90GHZ/8GB/320GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty.",,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD X240(CORE I5 4300U 1.90GHZ/8GB/320GB/WEBCAM/12.5""/WIN-10 HOME)(GRADE B)",0,simple,,
